"title";"Title";"Published";"category";"sub_category";"creator";"subject";"keywords";"Item Url";"Description"
"Wired";"These Learning Tools Are Shaping the Online Schoolhouse";"2021-05-02T14:00";"Gear";"Gear / How To and Advice";"Adrienne So";"Remote Schooling";"education, COVID-19, kids, parenting, learning, Shopping";"https://www.wired.com/story/class-engageli-online-learning-platforms";"Remote learning is here to stay. These platforms have designed virtual classrooms around the needs of teachers and students."
"Wired";"Josh Hawley’s ‘Big Tech’ Book Overthrows the Tyranny of Reality";"2021-05-02T14:00";"Business";"Business / National Affairs";"Gilad Edelman";"Reviews";"Books, Antitrust, congress, National Affairs";"https://www.wired.com/story/josh-hawley-virtual-reality-book-review";"The senator’s new book is an assault not just on Big Tech, but on basic facts of US history."
"Wired";"Everything You Need to Work From Home Like a Pro";"2021-05-01T16:00";"Gear";"Gear / Buying Guides";"Julian Chokkattu";"Our Ultimate Guide";"Shopping, buying guides, tips, remote work, Accessories and Peripherals, household";"https://www.wired.com/story/work-from-home-home-office-gear-guide";"Gear can make or break your home office setup. Here’s our ultimate list of the best monitors, desks, webcams, headphones, and more."
"Wired";"A Ransomware Group Hit DC Police—Then Pivoted to Extortion";"2021-05-01T16:00";"Security";"Security / Security News";"Brian Barrett";"Security Roundup";"security roundup, ransomware";"https://www.wired.com/story/ransomware-dc-police-warrantless-searches-security-news";"Warrantless searches, tracking troops, and more of the week’s top security news."
"Wired";"You Will Die a Lot in Returnal. It’s Worth It";"2021-05-01T15:00";"Culture";"Culture / Video Games";"Will Bedingfield, WIRED UK";"Games";"Wired UK, Console Games, video games";"https://www.wired.com/story/you-will-die-a-lot-in-returnal-its-worth-it";"The game is the roguelike genre at its best—and it’s an exciting vision of things to come."
"Wired";"The Race to Save St. Mark’s Basilica From Salty Floodwaters";"2021-05-01T15:00";"Science";"Science / Environment";"Rebecca Ann Hughes";"High Tide";"Climate Desk, climate change, climate, water, sea-level rise, flood, Architecture, Geology";"https://www.wired.com/story/the-race-to-save-st-marks-basilica-from-salty-floodwaters";"As Venice faces a 4-foot sea level rise, the historic cathedral—and its marble—could succumb to damaging tides."
"Wired";"Seth Rogen’s Record Player Is a Visual (and Aural) Treat";"2021-05-01T14:00";"Gear";"Gear / Reviews";"Julian Chokkattu";"Pro-Duct Review";"Shopping, review, Turntables, vinyl, audio, home entertainment";"https://www.wired.com/review/pro-ject-t1-bt";"Looks are important when shopping for a record player, and this fresh design from the cannabis company Houseplant delivers."
"Wired";"The 15 Best Weekend Deals on iPads, Espresso Machines, and More";"2021-05-01T14:00";"Gear";"Gear / Deals";"Gear Team";"Deals";"Shopping, Deals";"https://www.wired.com/story/weekend-deals-may-1-2021";"Out with the old, in with the new. It’s a good time to grab a laptop or a robot vacuum at a discounted price."
"Wired";"Even Calibri’s Creator Is Glad That Microsoft Is Moving On";"2021-05-01T14:00";"Gear";"Gear / Gear News and Events";"Arielle Pardes";"Typecast";"Typography, design, Graphic Design, Microsoft";"https://www.wired.com/story/calibri-default-font-microsoft-moving-on";"Microsoft is switching up its default font for the first time since 2007."
"Wired";"How to Find a Covid-19 Vaccine Appointment in Your Area";"2021-05-01T02:30";"Gear";"Science / Health";"Matt Jancer";"You Got This";"coronavirus, COVID-19, vaccines, health, science";"https://www.wired.com/story/how-to-find-a-covid-19-vaccine";"Vaccines are rolling out across the US. These tips will help you figure out where to go and what to expect."
"Wired";"Six-Word Sci-Fi: Stories Written By You";"2021-04-30T21:00";"Culture";"Culture / Digital Culture";"WIRED Readers";"Fiction";"Six-Word Sci-Fi";"https://www.wired.com/story/six-word-sci-fi";"Here's this month's prompt, how to submit, and an illustrated archive of past favorites."
"Wired";"New Guidance for the Vaccinated, a Crisis in India, and More";"2021-04-30T20:52:54";"Science";"Science / Health";"Eve Sneider";"Coronavirus Update";"coronavirus, COVID-19, india, vaccines";"https://www.wired.com/story/new-guidance-vaccinated-crisis-in-india-coronavirus-news";"Catch up on the most important updates from this week."
"Wired";"The Left Hand of Darkness Is a Sci-Fi Classic";"2021-04-30T19:00";"Culture";"Culture / Culture Podcast";"Geek's Guide to the Galaxy";"Podcasts";"Geek's Guide to the Galaxy";"https://www.wired.com/2021/04/geeks-guide-left-hand-of-darkness";"Ursula K. Le Guin's 1969 novel is one of the genre's most important explorations of gender."
"Wired";"A Wildlife Photographer Critiqued Our New Pokémon Snap Photos";"2021-04-30T17:00";"Culture";"Culture / Video Games";"Jonathan Peltz";"WIRED Q&A";"video games, gaming culture, Pokemon, Photography, nature";"https://www.wired.com/story/wildlife-photographer-review-new-pokemon-snap-photos";"WIRED asked Melissa Groo, an acclaimed conservation photographer and author, to judge our snapshots of wild Pichus and Torchics. It didn't go well."
